fundingTime,formulaType,fundingRate,instId,instType,method,realizedRate
2025-10-21 00:00:00,withRate,9.0185681711e-06,BTC-USDT-SWAP,SWAP,current_period,9.0185681711e-06
2025-10-21 08:00:00,withRate,7.58427334556e-05,BTC-USDT-SWAP,SWAP,current_period,7.58427334556e-05
2025-10-21 16:00:00,withRate,4.26546950883e-05,BTC-USDT-SWAP,SWAP,current_period,4.26546950883e-05
2025-10-22 00:00:00,withRate,0.0001,BTC-USDT-SWAP,SWAP,current_period,0.0001
2025-10-22 08:00:00,withRate,-2.56449996513e-05,BTC-USDT-SWAP,SWAP,current_period,-2.56449996513e-05
2025-10-22 16:00:00,withRate,1.43167070454e-05,BTC-USDT-SWAP,SWAP,current_period,1.43167070454e-05
2025-10-23 00:00:00,withRate,8.25812211716e-05,BTC-USDT-SWAP,SWAP,current_period,8.25812211716e-05
2025-10-23 08:00:00,withRate,4.15846074772e-05,BTC-USDT-SWAP,SWAP,current_period,4.15846074772e-05
2025-10-23 16:00:00,withRate,4.29932201282e-05,BTC-USDT-SWAP,SWAP,current_period,4.29932201282e-05
2025-10-24 00:00:00,withRate,-8.6364236902e-06,BTC-USDT-SWAP,SWAP,current_period,-8.6364236902e-06
2025-10-24 08:00:00,withRate,5.00709346333e-05,BTC-USDT-SWAP,SWAP,current_period,5.00709346333e-05
2025-10-24 16:00:00,withRate,1.55367462775e-05,BTC-USDT-SWAP,SWAP,current_period,1.55367462775e-05
2025-10-25 00:00:00,withRate,-2.53998741815e-05,BTC-USDT-SWAP,SWAP,current_period,-2.53998741815e-05
2025-10-25 08:00:00,withRate,3.8224703964e-05,BTC-USDT-SWAP,SWAP,current_period,3.8224703964e-05
2025-10-25 16:00:00,withRate,1.97285420459e-05,BTC-USDT-SWAP,SWAP,current_period,1.97285420459e-05
2025-10-26 00:00:00,withRate,-1.17483110448e-05,BTC-USDT-SWAP,SWAP,current_period,-1.17483110448e-05
2025-10-26 08:00:00,withRate,1.01631439833e-05,BTC-USDT-SWAP,SWAP,current_period,1.01631439833e-05
2025-10-26 16:00:00,withRate,6.77562407709e-05,BTC-USDT-SWAP,SWAP,current_period,6.77562407709e-05
2025-10-27 00:00:00,withRate,8.40142543229e-05,BTC-USDT-SWAP,SWAP,current_period,8.40142543229e-05
2025-10-27 08:00:00,withRate,5.03211470478e-05,BTC-USDT-SWAP,SWAP,current_period,5.03211470478e-05
2025-10-27 16:00:00,withRate,6.85572608467e-05,BTC-USDT-SWAP,SWAP,current_period,6.85572608467e-05
2025-10-28 00:00:00,withRate,9.21788987883e-05,BTC-USDT-SWAP,SWAP,current_period,9.21788987883e-05
2025-10-28 08:00:00,withRate,8.72978810723e-05,BTC-USDT-SWAP,SWAP,current_period,8.72978810723e-05
